SN,App ,Request Number ,Request Title,Request Description ,No of Comments,Comments ,Has questions?,Clear?,Questions Mentioned?,Does the question help for defect?,Notes,Does the discussion help to clarify ,Closed reason?
28,Signal ,604,Number registration (for push messaging) doesn't work with Google Voice,"The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).
- Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you*

The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it.

Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",19,"

If you're on CM, voice+ works, but...yes, this should be fixed outside of requiring CM.


I can confirm that TS does not currently work with Google Voice on my Samsung Galaxy S4 on Verizon. Would love to see this implemented.


I can confirm that Google Voice registration does not work on my Samsung Galaxy S4 (Verizon).


The FAQ says it works if you wait for the timeout and try voice activation:
http://support.whispersystems.org/customer/portal/articles/1468990-how-can-i-get-textsecure-working-with-my-google-voice-number-
Does this work for you? Maybe we should inform users that they should use voice registration with google voice.
Do you know if there is a simple way to filter numbers and automatically do voice activation if somebody enters a google voice number. Does Google have a fixed address space or something?

Edit: looks like there is no publicly known list/address space for GV: http://www.crimetime.com/identification-of-google-voice-numbers.htm
So we're probably down to showing people the voice option from the beginning, with the information that SMS will not work with all GV.


Yeah, I waited for the timeout and requested a voice call but it never came. Bummer.

Ninja edit: The call does come sometimes but TextSecure displays a ""Network Error"" message when I try to verify.


I use an Android device with no cellular data service, and I use Google Voice for SMS (via Google Voice over wifi) to other mobiles while using it.  When installing TextSecure, I had to verify my Google Voice number with a phone call (which I answered on one of my other phones - Google Voice forwards to them all) after waiting for 2 minutes - even though the SMS came to the device on which I was installing TextSecure via Google Voice!

For Android, at any rate, I imagine maybe one could detect the presence of Google Voice (and then maybe intercept inbound texts from it, since they're not true SMS). But probably the least-work option here is to have the user select voice or sms auth, and be able to abort the 2-minute countdown if they selected sms auth, which takes them back to the select dialog.


This is still an ongoing issue and pretty annoying. 
You're sending a 6-number code via text, and I receive it, so let me manually input it, like most other messaging apps do.


That would be an easy workaround. ""Having problems? Input the code manually""


Just to put it on the radar, it's less and less just a Google Voice phenomenon. There are an increasing number of MVNOs offering easy SIP numbers and special texting apps:
- http://www.touch.com/
- http://www.freedompop.com/

These companies mainly offer their own devices, but let you show up with your own device, which may be wifi only.

Also, not to mention [Hushed app](http://hushed.com/), which isn't an MVNO, but allows wifi-only devices to act as phones.


this is working for me now on Nexus 5 w/ stock Lollipop 5.1 & TextSecure 2.10.2. anyone still experiencing this issue and on what device, build, etc?


- Do I need to reinstall to find out?
- Has work gone into fixing this? IIRC, last I registered, the app told me Google Voice wouldn't work.


@gordon-morehouse when registering, enter your google voice number-- you should receive an SMS verification code, if that does not arrive you will receive a phone call where the code will be read to you. I've been using a google voice number on my test device for months, let me know if this doesn't work for registration and I will reopen.


Zero offense intended, but that didn't really answer either of my questions.

I don't see any way to re-register in the app UI. I would like to test this, but not at the expense of blowing away my key, my history, etc. I am already using TextSecure registered to my carrier number on my only device, because it refused to work with Google Voice.

This is quite an old version of Android (2.3.4). If it's not worth testing on such an old version, I'd rather not go through the pain of reinstalling to test until I next wipe the device.


thanks for the clarification, sorry I didn't understand your original post. you can re-register with a different number by going to **Settings > Advanced > TextSecure messages**, toggle this option and your current number will be unregistered then you will be prompted again to register with a different number.


This will mess up your existing sessions if you change your number, though.


Why isn't there an option to manually enter the text verification code, for users of Google Voice? It seems unnecessary to have to wait 2 minutes to enter a code that you already received immediately.


I have the same issues, cant register with google voice.  I get the reg code via sms but the signal app doesnt pick it up.

With the call option im not getting a call.


@moxie0 Couldn't you export your ""chat"", change your number, and import the ""chat""? Would that work?


Having the same issue with Google Fi phone. Tried the verification via SMS message, and then also the voice verification. SMS times out and even when I get the voice call/code when I input it I get ""Network error!""",No,Requester wants to be able to use number registration with Google voice,N/a,N/a,Feature exists; clarification is presented by the developer - requester is directed to the feature usages,Yes ,Existing Feature 
29,Signal ,801,Feature request: Mute Group (or any user),"Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.",9,"

+1


Maybe this could be included in #757 as an additional entry in the proposed notifications settings menu for every chat.


I want to +1 too!


We totally need this!


Yes, please! :)


Please enable silencing specified chats (Groupchats, Singlechats)


Please! This shouldn't be hard to implement and my friends can be very talkative sometimes ^^""
Also, they want this to switch from WA to TS


+1


+1",No,Requester wants to be able to mute conversations for certain time,N/a,N/a,The feature is implemented but there aren't much details discussed. No clarification aske,Yes ,Implemented
30,Signal ,6069,Unread notification badges do not work on Huawei EMUI,"I have:

- [x] searched open and closed issues for duplicates

- [x] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Bug description

I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown.

In Signal support articles there is mentioned, that badge icons are supported for some launchers, see [https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use-](url)

So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges.



### Device info

<!-- replace the examples with your info -->

**Device:** Honor 8

**Android version:** 6.0

**Signal version:** 3.26.2",2,"

Sounds related, but unsure: Another user is reporting the same issue on with badge notifications not showing for Signal on a different device.



Device: LG V20 with Nova launcher

Android: rooted stock 7.0 (Build NRD90M, Software H91810d)



This user's work around is to use nova launcher with the app notifyer to create a widget icon that displays the badge notification

in 3.28.0",No,Requester wants to be able to see unread message in notification for a specific phone type,N/a,N/a,Implemented. Another user also commented saying there is a similar issue. Seems like a bug report but the contributor implemented and put the version number,No,Implemented
31,Signal ,2943,Where are the old text-only smileys?,"Why did you remove the old text based smileys?
I don't like all this emoji crap and preferred the other ones.",11,"

You can still typically use your keyboard's emoji pane by long-pressing the enter key, if that's where you used to access it.


Doesn't work for me


mcginty, would be nice, if you could read the message before answering.
He is complaining about the missing text-based smilies, like :-( not the button!

I am missing them aswell, I dislike this whole emoji stuff...


I read the message. I was saying we didn't remove text-based smilies, they just never existed in our emoji drawer. This seems to be something that the keyboard's emoji supports, and we recently changed to prefer our emoji drawer over the system's.


Ok, this is an better explanation and I am seeing them by long pressing the ""enter""-key.
Is it that difficult, to add the simple smilies to ""our drawer"" as well?
I am only using them...


Well I remember having the choice of 'enter key' or 'old style smileys' in some menu, but that is gone now...


> @sjaeckel wrote:
>
> Well I remember having the choice of 'enter key' or 'old style smileys' in some menu, but that is gone now...

Yes, that was part of the change which has been mentioned by @mcginty , see the following commit:

https://github.com/WhisperSystems/TextSecure/commit/2f20bb89f3b64701d047fa3af2aa8b6e0ecfdc34

Regards


this is blocked until the refactor in #3153 is complete


@mcginty seems you've have 'forgotten' about the emoticons, as they already are in a string-array and have the category icons.
Wonder what tho GO code will like for generating the PNG :-P


@McLoo haven't forgotten - assets are there and I'm writing the ASCII-emoji stuff! If we're generating PNGs of ASCII emoji I'm doing it wrong :P


awesome
thanks!",No,Requeter wants old emoticon text based back,N/a,N/a,Clarification used in the comments. Discussion about what the requester wants. The definition of what they mean by emoticons. ,Yes ,Implemented
32,Signal ,299,"Implement ""Quick Responses""","Android has an useful option for rejecting call with SMS. When you receive a call, you can reject it with pre-prepared or custom SMS.

However, this SMS is not sent through TextSecure but through default Android application for sending SMS's.

Can this be changed?",17,"

This will become possible with Android 4.3.

See ""Intent for handling Quick Responses"" at https://developer.android.com/about/versions/jelly-bean.html


I've got Android 4.4 and this is not possible yet, one of the problems that bugs me the most and why I dont run it as default SMS app


Renamed issue to ""Implement 'Quick Responses'"" since that's the feature that needs to be added. This would be a great Pull Request if somebody wants to pick it up. On our list.


The skeleton is already in place. See: `QuickResponseService.java` in `src/org/thoughtcrime/securesms/service/QuickResponseService.java` and within `AndroidManifest.xml`:

```
<service android:name="".service.QuickResponseService""
         android:permission=""android.permission.SEND_RESPOND_VIA_MESSAGE""
         android:exported=""true"" >
    <intent-filter>
        <action android:name=""android.intent.action.RESPOND_VIA_MESSAGE"" />
        <category android:name=""android.intent.category.DEFAULT"" />
        <data android:scheme=""sms"" />
        <data android:scheme=""smsto"" />
        <data android:scheme=""mms"" />
        <data android:scheme=""mmsto"" />
    </intent-filter>
</service>
```

I can take a gander at it if you'd like.


Fair warning, it's actually a deceptively difficult change.  The code is fairly well setup for the scenario where you receive an incoming message and don't have a cached MasterSecret, but it's not clear what to do when _sending_ a message without a cached MasterSecret.  If you actually have a passphrase configured, there will be no way to send the message using a secure session, for instance.


That's the first thing that came to my mind, too. Especially after reading the documentation that the implementing service should _not_ spawn any activity and everything has to be done in the background.


Easiest thing to do would be to start off by supporting the case where the passphrase is cached or there's no passphrase configured.  Would at least be an improvement.


Hi, please take a look at https://github.com/WhisperSystems/TextSecure/pull/962 and let me know what you think


The word QuickResponse was not mentioned in this issue yet but is in the error message when trying to send one:

  <string name=""QuickResponseService_sorry_quick_response_is_not_yet_supported_by_textsecure"">

Adding this keyword for findability.


Two things, this issue seems to be getting conflated with the quick reply issue. This issue however is for ""Reject Call and Send Text Reply"".

@moxie0 I'm in agreement with you. Get the functionality for general users in place and then think about the implementation of the passphrase methodology. Which I'd simply suggest a popup password box proceeds the selection dialog of the quick message.

But as things stand, this is functionality that's suggested by all Android phones as standard and by not having something in place, it makes TextSecure look amateurish.


Hi,
seems this issue still persists. What about implementing a small toast-message after someone tries to reject a call with a message that this funtionality is not supported yet because I already had some people asking me (the guy who recommended TS) what happened to their reject-messages. Or is someone already working this out?


Ohh - I just took a look at the code and a ""not supported yes"" toast-message seems to be already implemented:

Toast.makeText(this,
getString(R.string.QuickResponseService_sorry_quick_response_is_not_yet_supported_by_textsecure),
Toast.LENGTH_LONG).show();

BUT it does not show up for me? Someone else getting that toast?


@fajabird shows up for me. Rejecting call with text ends up in rejecting with 'not supported' toast following :)


I'd like to see the quick reply feature working, too. Any news for us on this one?


@merkste, unfortunately I don't see myself tackling this in the immediate future - since I don't want to uninstall TextSecure from my daily phone. When I get a secondary phone (not too long I hope, but I can't promise nothing) I'll look into this again.


@asafh You could:
a) Install two TextSecure versions in parallel and test with the browser extension (very buggy)
b) Specify what needs to be done to continue your development efforts and maybe point others in the right direction


@JavaJens what I've done and moxie's input on what needs to be done is described pretty well over PR #962. Basically, what needs to be done is trying to get the key from the key caching service directly, if it is available go ahead with sending the message, otherwise show a toast with the ""TextSecure is currently locked. Quick Response messages are disabled."" or similar. 

Since the code base has already changed quite a bit, I would the code in that PR's commit as a reference. It will be easier to simply do the similar work on a new branch from main. 

If you decide to tackle this, and have questions you want to consult me about - feel free to send me a message here or at [""hello"",String.fromCharCode(31*2+2)/*regex scrapper*/,""ous"","".im""].join("""")",No,Requeter wants to be able to send quick response through textsecure,N/a,N/a,Discussion on androind version and commits.,Yes ,Implemented
33,Signal ,6390,Notify sender if Signal message has been sent but not delivered to recipient after some time,"<!-- This is a bug report template. By following the instructions below and filling out the sections with your information, you will help the developers to get all the necessary data to fix your issue.

You can also preview your report before submitting it. You may remove sections that aren't relevant to your particular case.



Before we begin, please note that this tracker is only for issues, not questions or comments.



If you are looking for support, please see our support center instead:

https://support.whispersystems.org/

or email support@whispersystems.org



Let's begin with a checklist: replace the empty checkboxes [ ] below with checked ones [x] accordingly -->



I have:

- [X] searched open and closed issues for duplicates

- [X] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Bug description

Recipients who are registered for Signal may not be able to receive secure signal messages due to reasons such as:

- temporary unavailability of internet access (e.g. prepay plans with hard data caps; otherwise intermittent data connectivity)

- permanent unavailability having uninstalled Signal without first unregistering



Neither of these are apparent to the sender, and sending a Signal message results in the message sitting on the server for some undefined length of time. The sender does not get notified that while their message has been sent to the server, it has not been delivered to the recipient, leading to frustration once the fact is discovered ( #6377, https://github.com/WhisperSystems/Signal-Android/issues/2285#issuecomment-218601632 etc). The status is available in conversation UI in the form of one tick vs two ticks, but this requires the sender to explicitly check back in the conversation UI.



It would improve the user experience if a signal message that was sent but not delivered after some timeout (minutes?) triggered a ""lack of delivery"" notification on the senders phone along the lines of ""Your secure message to YYY could not be delivered after N minutes. Would you like to resend via insecure SMS?"" This way it is up to the user to explicitly fall back to the less secure protocol.



(This notification proposal is orthogonal to but complementary to the ability of Signal to better remember the per-contact preference of transport channel suggested in #2285, https://github.com/WhisperSystems/Signal-Android/issues/845#issuecomment-134381412 etc. It would also serve as an easier to implement and more secure alternative to automatically falling back to SMS as suggested in #678, #2847, #3074, #4009, #5001)",2,"

I agree, but it shouldn't be minutes, but rather days or weeks.

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to receive notification if in case the message sent was not delievered to the receiver,N/a,N/a,N/a,N/a,Clean up*
34,Signal ,7345,Better Media Saving Behavior,"I have:

- [x] searched open and closed issues for duplicates

- [x] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Bug description

One of the features that was missing for a long time but thankfully has been recently implemented was the ability to swipe through the images without having to keep going back to the index and always having it start at the top. Kudos and thanks for that.



However, another element exists that can be greatly improved and probably just got missed; and hopefully can be added. Currently each picture (""media"") provides you the save button on the top. However, it never detects that the item has already been saved and you have to just remember it or go check your on device gallery to see if it is already there. Instead, it simply keeps making duplicates of the item and just incrementing it. It would't be too difficult to do a simple if/exists > show view/share icon else/doesn't > show save icon (as it is now). This will spare the need to save multiple duplicates and incrementing it when you can simply provide a visual check that it has already been saved. It is simply better UX and cleaner that way.



### Steps to reproduce

- save an item

- save it again

- you have a duplicate with a -1 at the end

- save it again

- you now have 3 with a -1 and -2 of the same item

- repeat and goes on as long as you keep saving



**Expected result:** Detect that the item has already been saved and either provide a view icon or share icon to visually indicate it has been saved already, otherwise show the save button. A simple file system check for the item will facilitate this.



Thanks in advance.",4,"

I think the current approach is safer because Signal save the media to the common android directory and there's a probability other application will save a different file with the same name.



There is a potential to add extra validation (in addition to file system exists() check) before disabling the save button (maybe comparing the file checksum?). But wouldn't this too much work for the device to just toggle the save button?

@nribeka Given that the filename used by Signal to save is rather unique, I highly doubt it will ever encounter another app saving with the filename beginning with the word Signal and the exact date/time hash that follows. That being said, checking the file by doing a size/name hash is not that labor intensive or beyond the capability of the app, given that nearly every app out there performing the same function can pull it off without issue, it is not outside the capability of the Signal team, just perhaps their motivation.

Other apps might've edited that file and saved it with the same name, e.g. when you edit a saved image with your image editor.



I think you shouldn't toggle the save button off.

My suggestion is,



upon tapping on save button, if the filename exists, calculate the checksum, 

&nbsp;&nbsp;&nbsp;&nbsp;if the checksum matches > prompt user ""File already there, do you want to save another copy?"" 

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;answering ""Yes"" will save a copy as it does now. 

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""No"" will do nothing 

&nbsp;&nbsp;&nbsp;&nbsp;else > save as you do currently.



planning on getting involved in the project. Might make a pr soon.

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to prevent saving duplicate copies for the same attachment from the conversation or the application,N/a,N/a,N/a,N/a,Clean up*
35,Signal ,6077,Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider),"I have:

- [X] searched open and closed issues for duplicates

- [X] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Bug description

My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?)



### Steps to reproduce

- send an SMS to my provider through Signal



**Actual result:** it doesn't go through, ""Failed to send"", ""Some issues need your attention.""

**Expected result:** Message should go through and I should get a response.



### Device info

**Device:** OnePlus3T

**Android version:** 7.0

**Signal version:** 3.27.1



### Link to debug log

https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",12,"

On some phones there is a setting to enable sending messages to Short codes or short numbers.

You will need to allow sending ""Premium SMS"".

Go to Settings > Apps > Signal > scroll to the permissions section > tap on the down arrow for the section ""Send premium SMS"" and choose 'Ask' or 'Always allow'

Once I saw the Premium SMS setting in my App permission menu, I was sure that was it. But Signal wasn't on that list. I see all the other applications that have SMS capabilities there (Google Messenger, OnePlus Messenger and Facebook Messenger), but not Signal. When I first sent my short numbered SMS, they specifically asked for permission to send, Signal doesn't, it just fails. (I didn't put two and two together that this is a special permission, I figured they were asking general SMS privileges since I just switched to them)



Under Apps > Signal > Permissions there's no mention of Premium SMS, only if I go through general app permissions as stated above.

Checked with my friend, he has Signal listed under Premium SMS, but it already was on Always Allow. He also had to go through general settings, there's no Premium SMS under Signal > permissions

Can anyone with a better understanding of code check if this https://github.com/googlei18n/libphonenumber/blob/master/resources/ShortNumberMetadata.xml#L4982 allows for 13977 as a shortcode number in Croatia?

@kpuljek 13977 doesn't match that regular expression. I think that regular expression will allow the following numbers only:

112

118

116000

116006

116117

116111

116123

1987

192

193

194

195

93

94



I hope I don't miss any number.

Thats how it looked to me, but I'm a noob when it comes to regex. Thanks!  And if it is so, then that's the issue here. My provider Bonbon uses 13977 to check account balance and status.

I think you need to create into libphonenumber then since this seems to be related to how libphonenumber parse your number and then signal need to up the dependency for the libphonenumber.

The libphonenumber issue was fixed and closed! Will it be automatically included in the next version of Signal?

No, it has to be manually updated to libsignal-service and here. I added that to the subject.

The reference for norway doesn't exist anymore. Therefore signal  now decided that norway can only have 3, 4 and 6 digit shortcodes, but not 5 all of a sudden. Even though the online resources say 3-5(3 being emergency).



Unless you save it as a contact first, then it's fine and you cxan send/recive like before the last update.

Thanks for the quick response, but I would hardly call this a feature. Maybe it's just an internal thing I don't know about, but feature sounds a lot less important than bug.

libphonenumber has been updated to v8.3.0 in Signal-Android 3.30.0, see https://github.com/WhisperSystems/libsignal-service-java/commit/f5b94210fc6f2b9f1b8357d53ec6e83154eed3d2 and https://github.com/WhisperSystems/Signal-Android/commit/1669731329bcc32c84e33035a67a2fc22444c24b",No,Requester wants to be able to send messages to their mobile provider,N/a,N/a,N/a,N/a,Clean up*
36,Signal ,751,Adapt theme to light conditions,"Under low light conditions the light design is too bright and puts a strain on the eyes. Thus, a nice thing to have would be an option to switch between light and dark theme automagically using the light sensor.

| Theme |  |
| :-- | :-: |
| light theme | ( ) |
| dark theme | ( ) |
| depending on light condition | (o) |",5,"

That would be cool.  A transition theme, one capable to adapt to Low-Mid-High/direct, indirect Light. All with lute impact on the system resources.

That alone would be a great achievement on its own.

The Dark Theme is your friend. ;-)


Yes! Hello SMS on Google Play has this feature and it works very well. Hopefully Textsecure will have this feature in the future because it's my favorite SMS app. ✉


I would like to add here that using the dark theme, I cannot see the date and time in daylight because the font is not bright enough.
This is especially troubling for persons > 50 years of age - hardly ever can they read the date and time of sent/received messages, even indoors!


Yes please! This would be so useful, I currently keep swapping between light and dark theme


GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to control the theme - make the light theme with more options,N/a,N/a,Assigned to a commit request.,No,Implemented
37,Signal ,1363,Indicating in the conservation overview whether the last message is yours or from your conversation partner,Description given.,7,"

I feel that this doesn't add valuable information - as long as I am aware of unread messages (by the bold font), this seems unneccessary to me.
To me this would overly clutter the interface of the conversation overview. ~~I am also not aware of any big messenger doing it. And they spend millions on UI/UX experts.~~ I obviously don't use enough messengers.


I just checked Hangouts, Facebook messenger and kik messenger, and they all indicate whether the latest message in a conversation was incoming or outgoing in their conversation overview.


WhatsApp, Threema and Telegram, too. Although this more or less involuntarily comes from the ""has my contact received / seen my message"" icon displayed in every thread (which looks differently if the last message was an incoming one). I actually had a look at this, but it's at least not trivial to get that information in the ConversationListView...


I think it would be nice since it is common in other messangers but it isn't a very high priority feature.


this has been solved here https://github.com/WhisperSystems/Signal-Android/commit/7c95adc7e61e8157a686caa19ac8b6c8cf593eae right?


Closed too hastily. I'm not sure if it's planned to add ""You"" or contact names in the conversation list? Or is the current situation good enough?


I think it's good as is",No,No Description,N/a,N/a,Assigned to a commit request.,No,Implemented
38,Signal ,222,Feature: Blocking,"Blocking by user-specified phone number, via something like an email filter rule where the messages from the number are deleted upon receipt and no notification is given.",23,"

 I  like it +1


With the new data channel and groups this becomes even more interesting. We may not kick somebody from a group (#828), but we can ignore them (not show their messages) just fine. Or we mute the user/group for however long we like (#801)


:+1: I desperately need this. Cyanogenmod contacts has a blacklist that will ignore texts. But it only works with the default text messaging application.

Unfortunately many people are harassed through text messages, and losing the ability to block numbers can be a deal breaker.


Just to register interest in this feature request, a friend of mine is unable to use this app due to the text message harassment they receive.


I also believe that the app should be allowed to block individual numbers.


+1


Hi,

I have a friend I don't want to receive anymore of her so many sms.

Any progress or planning on this issue ?

Thank you.

PM from France


There is a discussion going on about per-recipient notifications. These will in the long run also include the possibility to completely blacklist people.


I receive too many spam sms. Would really like this blacklist feature. Thanks!


-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA256

I offer 0.015 BTC to anyone who first implements blacklist of senders in TextSecure Android application. Bonus 0.015 BTC if it will be able to move SMS from regexp matching numbers (except white-listed ones) to trash, without notification.

If you want to claim the bounty you MUST contact me BEFORE releasing any code.
This offer ends 1 January 2015 at 00:00. Or any other day which will be announced at least two weeks in advance.
I sign this message with my PGP key, so my reputation will go down in case I break the promise.

I know, it's not lot of money but I hope someone will join me and pledge too.
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.11 (GNU/Linux)

iF4EAREIAAYFAlPsumkACgkQPoLc2+pqnJQy4AD/cAjK2WrB7A5F7E+oZ7hQHIST
yzWqePzo12MekmEoe+4A/A7eNHE1qZ6qheyopCRWC2HZW/dWt02KeMEgRJAzHD80
=uln4
-----END PGP SIGNATURE-----


Too late - there is basically already a pull request for this. ;) #1815 - does not include ""blocking"" per se so far, but that's only a small step then. ;)


Well, better than nothing but it still doesn't do what I need: get rid of spam from operator. (I know that in perfect world I could tell my operator not to send one or switch operator but this is not perfect world)


It will do. One of the features I suspect will be implemented on top of this (if it gets in) is completely blocking someone.


Great, will it support regexps?
In my case numbers are often random but always 3 digit. But there are also (I think three) legit three digit numbers I'm aware of. That's why I need also white-list and/or trash: it will allow me to review messages later just in case.

It looks like I'll tip you once it's out. :)


Why don't you use one of these?
https://play.google.com/store/apps/details?id=com.smsBlocker&hl=de
https://play.google.com/store/apps/details?id=com.Guardam.JunkFirewall
https://play.google.com/store/search?q=sms+blacklist&so=1&c=apps

I dont think a regex fitler is really fitting in the concept of TextSecure as beeing a simple messaging app. See https://github.com/WhisperSystems/TextSecure/blob/master/contributing.md


I don't trust them (mostly because of closed source nature) and I doubt they work with TextSecure.
Yeah, regex filter is too huge feature. But I'm wondering how to block almost 1000 numbers conveniently. Maybe generate list of numbers and import it somehow?


There are some apps which don't have internet permission.

Another solution might be Cyanogenmod. It has a blocking feature included, you can't use regex there but something like `.*123.*` is allowed,

I would't like to have a blocking feature in TextSecure like @tinloaf proposed, but I think blocking single contacts is enough. Everything more complex is too complicated for the average user.


Don't mistake average users for dumb users. Lack of features doesn't mean simplicity.
Simplicity: I don't have to bother setting up unneeded stuff. It just works.
Lack of features: I'm bothered with spam and it's complicated to get rid of it (best case: I need to install suspicious third party app; worst case: I need to root my phone and program something)

You see the difference? Even something like GMail is simple but doesn't lack features.


Any ETA on a beta I could test?


Completely agree with Kixunil on simplicity and usability.

Also I don't think implementing regex will be difficult, as regex is kinda inbuilt into any modern programming language.

A spam box is a necessary feature, and regex rules is a good feature to have.

Is this not being done because of lack of programmers, or because of lack of testing? If it's a programming resource related issue I can help. I can code and I have interest in this feature.


hirak99, we'd love it if you could help. It looks like a patch has already been submitted above, but I don't think it has been merged yet.


This is a much needed feature. As it has been mentioned already the CyanogenMod text app has this feature and it is the main reason why I switched to CM the first place. TextSecure is not practical in countries with a high spam MMS/SMS volume.


I realy would appreciate this feature as spam by sms from unknown numbers is getting more often in the last month. Mostly containing virus links for android or something bad.
I would like to have a white/black list including the option to block all sources not in my contacts. Optional a dedicated spam ""folder"" would be nice.",Check,Requester wants to be able to ignore text message from some receipients,N/a,N/a,There are comments where people agree that this needs to be implemented. No details on the implementation or clarification. ,No,Implemented
39,Signal ,6459,Feature Request: Use Share Intent Subject When Sharing to Signal,"At the moment, sending a share Intent to Signal will include the `EXTRA_TEXT` portion of the Intent but not the `EXTRA_SUBJECT`



For example, using this code from another app

``` java

Intent sendIntent = new Intent();

sendIntent.setAction(Intent.ACTION_SEND);

sendIntent.putExtra(Intent.EXTRA_SUBJECT, ""This is the intent title"");

sendIntent.putExtra(Intent.EXTRA_TEXT, ""This is the intent body"");

sendIntent.setType(""text/plain"");

startActivity(Intent.createChooser(sendIntent, getResources().getText(R.string.send_to)));

```



Signal will only use the body: `""This is the intent body""` but not use the subject: `""This is the intent title""`



This would make it easier to get page titles and other subjects shared from browsers and other apps that set the share Intent's EXTRA_SUBJECT",2,"

Related: #5959 regarding (dis)advantages of using EXTRA_SUBJECT

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to share intent when sharing to Signal ,N/a,N/a,The request is closed as bug. Github clean up,No,Clean up*
40,Signal ,3192,Image view in fullscreen,Remove the action bar in the view where you can inspect a received picture to enlarge the image.,5,"

I like the action bar being optional because of the ""save"" menu item, lots of apps are doing the pattern where you tap the image once to disappear the action bar and tap again to return it, hangouts defaults to hiding the action bar and then bringing it back in on tap. I'm up for either of those.


:+1:


I am working on this issue.

Feature is fully implemented here:

https://github.com/FeuRenard/Signal-Android/tree/mpa-fullscreen_support



I am going to delay opening a PR until I implemented #5934 on top. By this I want to make sure that I don't introduce changes that have to be reverted by myself later.

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants the action bar to be removed from viewing the image. ,N/a,N/a,Implemented and closed but no details are added,No,Implemented
41,Signal ,6457,Use single button to open attachment window.,"I have:

- [X] searched open and closed issues for duplicates

- [X] read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports



----------------------------------------



### Bug description

In the conversation window, there are 3 ways to open/close the attachment window.



### Steps to reproduce

The paperclip will open and close the attachment window.

The green down arrow (that is visible in the attachment window) will close the attachment window.

The ellipses in the upper right of the conversation window have an option to open the attachment window.



**Actual result:**

As described above.

**Expected result:**

From a usability and attractiveness perspective, there should be only a single way to open and close the attachment window.



### Screenshots

See the [thread on Discourse Hosting](https://whispersystems.discoursehosting.net/t/conversation-window-ui-tweak/895) for screenshots and discussion of alternatives.



### Device info

**Device:** Moto X Pure Edition

**Android version:** 6.0.0

**Signal version:** 4.1.0",2,"

Thanks @wayloncovil It is confusing when you start typing a message and the paperclip icon goes away. Until reading this issue I didn't know there was another way to add an attachment from the upper-right ellipsis.

GitHub Issue Cleanup:
See #7598 for more information.",No,Requester wants to be able to open attachment window with only a single way,N/a,N/a,Marked as Bug. Clean up,No,Clean up*
